학년	이수구분	학수번호-수업번호	교과목명	교강사	학점	시간	강의실
3	전공핵심	BUS3021-10143	품질경영	김태복	3	월(16:00-17:30),화(16:00-17:30)	제1공학관409강의실,제1공학관601강의실
3	교양필수	GEN5026-10144	테크노경영학(스타트업종합설계)	안광일	3	월(14:30-16:00)	제1공학관404강의실,
3	전공핵심	INE3079-10145	경영과학과운영연구1	박철진	3	월(10:30-12:00),금(10:30-12:00)	인텔리전스컴퓨팅룸3,제1공학관205강의실
3	전공핵심	INE3081-10146	운용관리	이동호	3	수(10:30-12:00),금(14:30-16:00)	제1공학관203강의실
4	전공심화	INE3082-10147	네트워크및재고전략	김태복	3	월(10:30-12:00),화(10:30-12:00)	IT.BT관813강의실
3	전공핵심	INE3098-10148	시계열분석및예측	송재욱	3	화(14:30-16:00),목(14:30-16:00)	IT.BT관203강의실,제1공학관405강의실
4	전공심화	INE4089-10151	산업공학종합설계1	배석주	3	금(16:00-19:00)	제2공학관203강의실
4	전공심화	INE4092-10152	프로젝트관리공학	나창엽	3	화(13:00-14:30),화(14:30-16:00)	제1공학관506강의실(공학대학원전용)
4	전공심화	INE4109-10154	데이터경영	배석주	3	월(09:00-10:30),수(13:00-14:30)	비지정(),제1공학관404강의실
3	전공핵심	INE5008-10156	기계학습과데이터마이닝	이기천	3	월(09:00-10:30),화(09:00-10:30)	제2공학관313강의실(녹화전용)
4	전공심화	PBL4019-10157	산업공학캡스톤PBL(기계학습및딥러닝응용연구)	이기천	3	월(15:00-17:00),월(17:00-19:00)	제2공학관312강의실
4	전공심화	INE4108-10153	응용데이터애널리틱스	송재욱	3	목(11:00-12:30),목(12:30-14:00)	비지정()
4	전공심화	INE4110-10155	산업공학연구실현장실습3	김태복	1	시간미지정강좌	비지정()
2	교양필수	GEN6032-11313	전문학술영어	Stacey Eujung Choi	3	월(14:30-16:00),목(13:00-14:30)	제2공학관305강의실
1	전공기초(필수)	CHM1005-11337	일반화학및실험1	김민경	4	목(11:00-13:00),화(09:00-11:00)	제1공학관304강의실,,자연과학관일반화학실험실4(122),자연과학관일반화학실험실3(121)
2	전공기초(필수)	COE3051-11338	공업수학1	신교일	3	화(10:30-12:00),금(14:30-16:00)	제1공학관208강의실
1	전공기초(필수)	CUL3011-11343	일반물리학및실험1	이경수	4	화(13:00-15:00),목(13:00-15:00)	제1공학관305강의실,,자연과학관일반물리학실험실4(213),자연과학관일반물리학실험실3(212)
2	교양필수	GEN1100-11345	공학도를위한창의적프로그래밍	신수연	2	화(15:00-16:00),화(16:00-17:00)	제2공학관최병부SW실습실(303)
2	전공기초(필수)	MAT2017-11351	확률통계론	배석주	3	월(16:00-17:30),수(10:30-12:00)	제1공학관205강의실
2	전공기초(필수)	MAT3008-11352	수치해석	정지훈	3	수(16:00-17:30),목(10:30-12:00)	제1공학관408강의실
2	전공핵심	COM2018-11339	객체지향프로그래밍	이기천	3	월(13:00-14:30),화(13:00-14:30)	비지정(),제2공학관311강의실
1	교양필수	CUL0203-11341	AI시대쓰기의힘	황인건	2	금(09:00-11:00)	제1공학관207강의실
1	교양필수	GEN1031-11344	공학도를위한창의적컴퓨팅	조호성	3	월(09:00-11:00),수(15:00-17:00)	제2공학관205강의실,제2공학관401강의실,제2공학관정석현PC2
1	전공기초(필수)	GEN2052-11346	미분적분학1	이선경	3	화(16:00-17:30),금(13:00-14:30)	제1공학관405강의실
1	교양필수	GEN5029-11347	커리어개발Ⅰ:취.창업진로로드맵	정지훈	1	화(17:30-18:30)	제2공학관208강의실
2	전공핵심	INE2015-11349	산공수학	박철진	3	월(09:00-10:30),금(09:00-10:30)	제1공학관208강의실
1	교양필수	GEN5029-12946	커리어개발Ⅰ:취.창업진로로드맵	이동호	1	화(17:30-18:30)	제2공학관210강의실
1	교양필수	GEN5029-12947	커리어개발Ⅰ:취.창업진로로드맵	이기천	1	화(17:30-18:30)	제2공학관311강의실
1	교양필수	GEN5029-12948	커리어개발Ⅰ:취.창업진로로드맵	박철진	1	금(15:30-16:30)	제2공학관313강의실(녹화전용)
1	교양필수	CUL0203-12456	AI시대쓰기의힘	문혜연	2	금(09:00-11:00)	제1공학관406강의실
1	교양필수	CUL0203-12457	AI시대쓰기의힘	조소명	2	금(09:00-11:00)	제1공학관507강의실
4	전공심화	INE4089-12951	산업공학종합설계1	김태복	3	금(16:00-19:00)	제2공학관205강의실
4	전공심화	INE4110-12949	산업공학연구실현장실습3	송재욱	1	시간미지정강좌	비지정()
4	전공심화	INE4089-12950	산업공학종합설계1	송재욱	3	금(16:00-19:00)	제2공학관204강의실
3	교양필수	GEN5026-12595	테크노경영학(스타트업종합설계)	이재석	3	월(14:30-16:00)	제1공학관405강의실,
2	교양필수	GEN6032-12409	전문학술영어	Sung Il Park	3	월(14:30-16:00),목(13:00-14:30)	제2공학관308강의실
2	교양필수	GEN6032-12408	전문학술영어	Nathan John Lucas	3	월(14:30-16:00),목(13:00-14:30)	제2공학관307강의실
4	전공심화	INE4110-13393	산업공학연구실현장실습3	이기천	1	시간미지정강좌	비지정()
4	전공심화	INE4110-13404	산업공학연구실현장실습3	박철진	1	시간미지정강좌	비지정()
