학년	이수구분	학수번호-수업번호	교과목명	교강사	학점	시간	강의실
3	전공심화	DME2060-10076	선형대수원리및응용	이승환	3	화(14:30-16:00)	제2공학관209강의실
4	전공심화	DME4063-10080	기계공학의응용과미래2	김민구	1	화(13:00-14:00)	제2공학관202강의실(녹화전용)
4	전공심화	DME4064-10081	열유체유동해석및설계	엄석기	3	금(15:00-16:00),금(16:00-20:00)	비지정()
4	전공심화	DME4067-10083	동역학제어실험2	박관규	2	화(15:00-19:00)	비지정()
4	전공심화	DME4068-10084	재료및생산가공실험2	이승환	2	월(15:00-19:00)	비지정(),제2공학관정석현PC3
4	전공심화	DME4070-10085	복합재료기초역학	김학성	3	화(10:30-12:00)	제1공학관205강의실,제2공학관209강의실
4	전공심화	DME4073-10087	미래모빌리티및스마트제조PBL1	엄석기	3	목(15:00-16:00),목(16:00-20:00)	비지정()
4	전공심화	DME4076-10088	최적설계및머신러닝	서태원	3	월(11:00-13:00),수(13:00-15:00)	제2공학관205강의실,제2공학관해동AILab_402
3	전공핵심	MEE3002-10092	열역학2	김동립	3	월(10:30-12:00)	제2공학관302강의실,비지정()
3	전공핵심	MEE3003-10093	유체역학1	곽노균	3	월(14:30-16:00),수(14:30-16:00)	제1공학관208강의실
4	전공심화	MEE3008-10094	로보트공학	박종현	3	월(13:00-14:30),수(10:30-12:00)	제2공학관208강의실,제2공학관210강의실
4	전공심화	PBL4006-10096	기계공학부캡스톤PBL(파손분석및설계)	김태원	3	목(09:00-11:00),목(11:00-13:00)	제2공학관205강의실
2	교양필수	GEN6032-11283	전문학술영어	Douglas N. McIntosh	3	월(09:00-10:30),목(10:30-12:00)	제2공학관305강의실
2	전공심화	MEE4011-11284	계측공학	장경영	3	수(09:00-10:30),수(10:30-12:00)	제2공학관204강의실
3	전공기초(필수)	COE3053-10075	공업수학3	왕웨이	3	화(10:30-12:00),목(10:30-12:00)	제2공학관202강의실(녹화전용),제2공학관302강의실
3	전공심화	DME3052-10077	기계요소설계	서태원	3	화(13:00-14:30),목(13:00-14:30)	제2공학관204강의실
4	전공심화	DME4066-10082	열유체공학실험2	문승재	2	월(15:00-19:00)	비지정()
4	전공심화	ENE4054-10089	자동제어	박종현	3	월(09:00-10:30),수(09:00-10:30)	제2공학관209강의실
3	교양필수	GEN5026-10090	테크노경영학(스타트업종합설계)	안광일	3	금(13:00-14:30)	제1공학관509강의실,
3	전공기초(필수)	MAT3008-10091	수치해석	문승재	3	월(13:00-14:30),수(13:00-14:30)	제2공학관209강의실
4	전공핵심	MEE4085-10095	기계공학종합설계1	곽노균	3	시간미지정강좌	비지정()
2	전공핵심	COE2004-11266	동역학	왕웨이	3	금(09:00-10:30),금(10:30-12:00)	제2공학관502강의실
1	전공핵심	COE2022-11267	공학입문설계	전상환	3	월(17:00-19:00),목(11:00-13:00)	제2공학관공학입문설계실
2	전공기초(필수)	COE3051-11268	공업수학1	김재희	3	화(13:00-14:30),금(13:00-14:30)	제1공학관508강의실,제1공학관303강의실
2	전공핵심	DME2001-11275	재료역학1	김태원	3	월(13:00-14:30),수(13:00-14:30)	제2공학관206강의실
2	전공핵심	DME2008-11276	컴퓨터지원제도	김재정	3	금(15:00-17:00),화(15:00-17:00)	제2공학관301강의실,비지정(),비지정()
2	전공심화	DME2062-11277	Adventure Design(기계융합2)	오기용	3	월(15:00-16:00),월(16:00-20:00)	비지정()
2	전공심화	DME2063-11278	모빌리티산업의이해	배지웅	2	목(16:00-17:00),목(17:00-19:00)	제2공학관205강의실
2	전공심화	DME2064-11279	수소모빌리티산업의응용과미래	엄석기	2	화(17:00-19:00)	미래자동차연구센터104강의실
2	전공심화	ELE3053-11280	전기공학	박관규	3	화(09:00-10:30),목(14:30-16:00)	제1공학관103강의실,제1공학관204강의실
1	전공기초(필수)	CHM1005-11265	일반화학및실험1	한진욱	4	수(13:00-15:00),월(11:00-13:00)	제1공학관401강의실,,자연과학관일반화학실험실2(116),자연과학관일반화학실험실1(114)
1	교양필수	CUL0201-11270	상상과학성찰	최은호	2	화(13:00-15:00)	제1공학관507강의실
1	전공기초(필수)	CUL3011-11274	일반물리학및실험1	하은자	4	화(15:00-17:00),금(11:00-13:00)	제1공학관304강의실,,자연과학관일반물리학실험실2(210),자연과학관일반물리학실험실1(209)
1	전공기초(필수)	GEN2052-11281	미분적분학1	권윤기	3	월(09:00-10:30),수(10:30-12:00)	제1공학관402강의실
1	교양필수	GEN5029-11282	커리어개발Ⅰ:취.창업진로로드맵	곽노균	1	월(16:00-17:00)	비지정()
4	전공심화	DME4073-13341	미래모빌리티및스마트제조PBL1	김영범	3	금(15:00-16:00),금(16:00-20:00)	비지정()
1	전공기초(필수)	CHM1005-12570	일반화학및실험1	이경림	4	수(13:00-15:00),월(13:00-15:00)	제1공학관509강의실,,자연과학관일반화학실험실2(116),자연과학관일반화학실험실1(114)
3	전공기초(필수)	COE3053-12914	공업수학3	박우성	3	화(10:30-12:00)	IT.BT관국제회의실(911),제2공학관301강의실
4	전공심화	DME4064-12937	열유체유동해석및설계	송시몬	3	목(15:00-16:00),목(16:00-18:00)	비지정()
1	전공기초(필수)	CHM1005-12571	일반화학및실험1	탁정애	4	수(13:00-15:00),월(13:00-15:00)	제1공학관601강의실,,자연과학관일반화학실험실4(122),자연과학관일반화학실험실3(121)
1	전공기초(필수)	CUL3011-12559	일반물리학및실험1	조진호	4	화(15:00-17:00),금(13:00-15:00)	제1공학관401강의실,,자연과학관일반물리학실험실1(209),자연과학관일반물리학실험실2(210)
1	전공기초(필수)	CUL3011-12560	일반물리학및실험1	홍진표	4	화(15:00-17:00),금(13:00-15:00)	제1공학관509강의실,,자연과학관일반물리학실험실6(218),자연과학관일반물리학실험실5(217)
2	교양필수	CUL1138-12544	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12545	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12546	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12547	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12548	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12549	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
