교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
테크노경영학(스타트업종합설계),박찬용,3,75,22,3,57,40,63,36,1,4.25,3,교양필수,GEN5026-10117,3,월(13:00-14:30),"제1공학관404강의실,"
랜덤프로세스,홍송남,0,0,0,0,0,0,0,0,0,4.88,3,전공심화,ITE3013-11083,3,"월(14:30-16:00),월(16:00-17:30)",공업센터PC실(613)
공업수학1,김재희,8,92,1,89,9,2,19,68,13,4.34,2,전공기초(필수),COE3051-11268,3,"화(13:00-14:30),금(13:00-14:30)","제1공학관508강의실,제1공학관303강의실"
전자회로1,박상규,16,45,39,64,33,3,28,61,11,3.72,3,전공핵심,ELE3074-11077,4,"목(15:00-16:30),목(16:30-18:00),월(17:30-19:30)","제2공학관510강의실(녹화전용),제2공학관510강의실(녹화전용),반도체공학과회로설계실험실(407)"
테크노경영학(스타트업종합설계),이재석,6,55,39,3,35,62,44,39,18,3.72,3,교양필수,GEN5026-12795,3,월(13:00-14:30),"제1공학관405강의실,"
공업수학1,김주형,2,89,9,89,10,0,17,72,10,4.28,2,전공기초(필수),COE3051-12285,3,"화(13:00-14:30),금(13:00-14:30)","제1공학관204강의실,제1공학관302강의실"
회로이론1,정예환,0,81,19,94,6,0,38,56,6,4.88,2,전공핵심,ECC1004-12291,4,"화(14:30-16:00),수(14:30-16:00),금(10:00-12:00)","제2공학관정석현PC3,제2공학관정석현PC3,반도체공학과회로설계실험실(407),반도체공학과회로설계실험실(407)"
고체전자물리개론,박재근,39,58,4,93,7,0,26,70,4,4.49,2,전공핵심,ELE4077-12293,3,"월(13:00-14:30),월(14:30-16:00)",반도체공학과406강의실
미분적분학1,이현미,0,0,0,0,0,0,0,0,0,4.0,1,전공기초(필수),GEN2052-12295,3,"화(13:00-14:30),금(14:30-16:00)","자연과학관202강의실,자연과학관227강의실"
선형대수,신동준,0,0,0,0,0,0,0,0,0,5.0,2,전공기초(필수),MAT2003-12298,3,"월(10:30-12:00),수(13:00-14:30)","제2공학관해동AILab_402,제2공학관502강의실"
공업수학1,노우석,18,81,1,96,2,2,33,65,2,4.82,2,전공기초(필수),COE3051-12650,3,"화(13:00-14:30),금(13:00-14:30)","제1공학관302강의실,제1공학관508강의실"
공업수학1,이성열,0,0,0,0,0,0,0,0,0,3.71,2,전공기초(필수),COE3051-12651,3,"화(13:00-14:30),금(13:00-14:30)","제1공학관303강의실,제1공학관208강의실"
